"filename", "language", "JSON", "Markdown", "Plain Text (PDF)", "Python", "comment", "blank", "total"
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/3dprint.pdf", "Plain Text (PDF)", 0, 0, 91, 0, 0, 1, 92
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5G_sentiment_prob.pdf", "Plain Text (PDF)", 0, 0, 237, 0, 0, 3, 240
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5G_validation.pdf", "Plain Text (PDF)", 0, 0, 150, 0, 0, 1, 151
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5G_word_occurrence.pdf", "Plain Text (PDF)", 0, 0, 243, 0, 0, 2, 245
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_aca_data.pdf", "Plain Text (PDF)", 0, 0, 150, 0, 0, 2, 152
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_char_count.pdf", "Plain Text (PDF)", 0, 0, 379, 0, 0, 3, 382
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_correleation.pdf", "Plain Text (PDF)", 0, 0, 227, 0, 0, 2, 229
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_data.pdf", "Plain Text (PDF)", 0, 0, 161, 0, 0, 2, 163
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_data1.pdf", "Plain Text (PDF)", 0, 0, 500, 0, 0, 1, 501
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_data2.pdf", "Plain Text (PDF)", 0, 0, 149, 0, 0, 2, 151
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_innovation_trigger.pdf", "Plain Text (PDF)", 0, 0, 1868, 0, 1267, 43, 3178
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_kde.pdf", "Plain Text (PDF)", 0, 0, 67, 0, 0, 1, 68
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_kde1.pdf", "Plain Text (PDF)", 0, 0, 108, 0, 176, 1, 285
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_kde2.pdf", "Plain Text (PDF)", 0, 0, 224, 0, 0, 3, 227
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_kde3.pdf", "Plain Text (PDF)", 0, 0, 220, 0, 0, 3, 223
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_kde4.pdf", "Plain Text (PDF)", 0, 0, 212, 0, 0, 2, 214
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_normalised_area.pdf", "Plain Text (PDF)", 0, 0, 244, 0, 0, 3, 247
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/5g_normalised_area2.pdf", "Plain Text (PDF)", 0, 0, 258, 0, 0, 3, 261
