date,popularity
Jan-04,4
Feb-04,6
Mar-04,4
Apr-04,8
May-04,4
Jun-04,4
Jul-04,3
Aug-04,5
Sep-04,5
Oct-04,5
Nov-04,9
Dec-04,6
Jan-05,5
Feb-05,5
Mar-05,4
Apr-05,4
May-05,4
Jun-05,3
Jul-05,3
Aug-05,5
Sep-05,2
Oct-05,4
Nov-05,7
Dec-05,4
Jan-06,5
Feb-06,3
Mar-06,5
Apr-06,3
May-06,4
Jun-06,4
Jul-06,3
Aug-06,5
Sep-06,3
Oct-06,4
Nov-06,3
Dec-06,4
Jan-07,4
Feb-07,5
Mar-07,3
Apr-07,3
May-07,5
Jun-07,4
Jul-07,3
Aug-07,5
Sep-07,4
Oct-07,5
Nov-07,5
Dec-07,4
Jan-08,4
Feb-08,4
Mar-08,4
Apr-08,5
May-08,5
Jun-08,4
Jul-08,3
Aug-08,5
Sep-08,3
Oct-08,4
Nov-08,4
Dec-08,4
Jan-09,5
Feb-09,5
Mar-09,5
Apr-09,5
May-09,5
Jun-09,4
Jul-09,4
Aug-09,4
Sep-09,5
Oct-09,5
Nov-09,5
Dec-09,5
Jan-10,6
Feb-10,4
Mar-10,5
Apr-10,5
May-10,6
Jun-10,4
Jul-10,6
Aug-10,5
Sep-10,8
Oct-10,7
Nov-10,8
Dec-10,7
Jan-11,8
Feb-11,13
Mar-11,9
Apr-11,9
May-11,8
Jun-11,9
Jul-11,19
Aug-11,15
Sep-11,15
Oct-11,13
Nov-11,14
Dec-11,13
Jan-12,17
Feb-12,18
Mar-12,17
Apr-12,21
May-12,22
Jun-12,20
Jul-12,21
Aug-12,26
Sep-12,27
Oct-12,34
Nov-12,33
Dec-12,36
Jan-13,48
Feb-13,57
Mar-13,61
Apr-13,51
May-13,76
Jun-13,55
Jul-13,57
Aug-13,59
Sep-13,55
Oct-13,63
Nov-13,80
Dec-13,65
Jan-14,79
Feb-14,65
Mar-14,67
Apr-14,72
May-14,74
Jun-14,57
Jul-14,61
Aug-14,60
Sep-14,73
Oct-14,81
Nov-14,80
Dec-14,75
Jan-15,91
Feb-15,82
Mar-15,98
Apr-15,83
May-15,71
Jun-15,64
Jul-15,62
Aug-15,64
Sep-15,74
Oct-15,80
Nov-15,82
Dec-15,69
Jan-16,68
Feb-16,74
Mar-16,70
Apr-16,73
May-16,66
Jun-16,56
Jul-16,51
Aug-16,54
Sep-16,62
Oct-16,64
Nov-16,73
Dec-16,64
Jan-17,70
Feb-17,79
Mar-17,88
Apr-17,81
May-17,77
Jun-17,59
Jul-17,58
Aug-17,58
Sep-17,64
Oct-17,75
Nov-17,81
Dec-17,75
Jan-18,70
Feb-18,74
Mar-18,84
Apr-18,77
May-18,73
Jun-18,60
Jul-18,62
Aug-18,77
Sep-18,75
Oct-18,82
Nov-18,87
Dec-18,76
Jan-19,81
Feb-19,82
Mar-19,86
Apr-19,80
May-19,77
Jun-19,70
Jul-19,68
Aug-19,68
Sep-19,82
Oct-19,83
Nov-19,88
Dec-19,87
Jan-20,88
Feb-20,89
Mar-20,89
Apr-20,100
May-20,89
Jun-20,79
Jul-20,79
Aug-20,77
Sep-20,78
Oct-20,77
Nov-20,74
Dec-20,82
Jan-21,86
Feb-21,82
Mar-21,82
Apr-21,77
May-21,77
Jun-21,67
Jul-21,68
Aug-21,83
Sep-21,71
Oct-21,73
Nov-21,80
Dec-21,84
Jan-22,86
Feb-22,78
Mar-22,71
