date,popularity
10-Jan,2
10-Feb,2
10-Mar,2
10-Apr,2
10-May,2
10-Jun,2
10-Jul,2
10-Aug,2
10-Sep,3
10-Oct,2
10-Nov,2
10-Dec,3
11-Jan,3
11-Feb,3
11-Mar,3
11-Apr,3
11-May,3
11-Jun,3
11-Jul,3
11-Aug,4
11-Sep,6
11-Oct,6
11-Nov,5
11-Dec,5
12-Jan,4
12-Feb,3
12-Mar,3
12-Apr,3
12-May,2
12-Jun,3
12-Jul,2
12-Aug,3
12-Sep,8
12-Oct,9
12-Nov,8
12-Dec,6
13-Jan,5
13-Feb,4
13-Mar,3
13-Apr,3
13-May,3
13-Jun,3
13-Jul,3
13-Aug,2
13-Sep,3
13-Oct,2
13-Nov,2
13-Dec,3
14-Jan,3
14-Feb,2
14-Mar,2
14-Apr,2
14-May,2
14-Jun,2
14-Jul,2
14-Aug,2
14-Sep,2
14-Oct,2
14-Nov,2
14-Dec,3
15-Jan,2
15-Feb,2
15-Mar,3
15-Apr,2
15-May,2
15-Jun,2
15-Jul,2
15-Aug,3
15-Sep,3
15-Oct,3
15-Nov,3
15-Dec,3
16-Jan,3
16-Feb,3
16-Mar,3
16-Apr,3
16-May,3
16-Jun,3
16-Jul,3
16-Aug,3
16-Sep,4
16-Oct,4
16-Nov,3
16-Dec,4
17-Jan,4
17-Feb,4
17-Mar,5
17-Apr,5
17-May,4
17-Jun,4
17-Jul,4
17-Aug,4
17-Sep,5
17-Oct,5
17-Nov,5
17-Dec,6
18-Jan,6
18-Feb,8
18-Mar,10
18-Apr,11
18-May,11
18-Jun,11
18-Jul,12
18-Aug,12
18-Sep,13
18-Oct,14
18-Nov,14
18-Dec,16
19-Jan,17
19-Feb,20
19-Mar,21
19-Apr,24
19-May,26
19-Jun,28
19-Jul,26
19-Aug,25
19-Sep,29
19-Oct,27
19-Nov,26
19-Dec,27
20-Jan,30
20-Feb,34
20-Mar,54
20-Apr,95
20-May,54
20-Jun,47
20-Jul,48
20-Aug,48
20-Sep,49
20-Oct,62
20-Nov,61
20-Dec,63
21-Jan,65
21-Feb,60
21-Mar,64
21-Apr,68
21-May,74
21-Jun,86
21-Jul,90
21-Aug,86
21-Sep,86
21-Oct,87
21-Nov,90
21-Dec,90
22-Jan,100
22-Feb,94
