date,popularity
12-Jan,0
12-Feb,0
12-Mar,0
12-Apr,0
12-May,0
12-Jun,0
12-Jul,0
12-Aug,0
12-Sep,0
12-Oct,0
12-Nov,0
12-Dec,0
13-Jan,0
13-Feb,0
13-Mar,1
13-Apr,2
13-May,1
13-Jun,1
13-Jul,1
13-Aug,1
13-Sep,1
13-Oct,1
13-Nov,3
13-Dec,3
14-Jan,3
14-Feb,4
14-Mar,3
14-Apr,2
14-May,2
14-Jun,2
14-Jul,2
14-Aug,2
14-Sep,2
14-Oct,2
14-Nov,2
14-Dec,2
15-Jan,3
15-Feb,2
15-Mar,2
15-Apr,2
15-May,3
15-Jun,3
15-Jul,3
15-Aug,3
15-Sep,4
15-Oct,5
15-Nov,6
15-Dec,6
16-Jan,6
16-Feb,7
16-Mar,7
16-Apr,8
16-May,11
16-Jun,11
16-Jul,9
16-Aug,9
16-Sep,11
16-Oct,14
16-Nov,15
16-Dec,14
17-Jan,16
17-Feb,18
17-Mar,20
17-Apr,19
17-May,28
17-Jun,33
17-Jul,29
17-Aug,36
17-Sep,39
17-Oct,49
17-Nov,63
17-Dec,100
18-Jan,86
18-Feb,63
18-Mar,56
18-Apr,48
18-May,53
18-Jun,46
18-Jul,44
18-Aug,42
18-Sep,42
18-Oct,45
18-Nov,43
18-Dec,31
19-Jan,32
19-Feb,34
19-Mar,31
19-Apr,37
19-May,39
19-Jun,36
19-Jul,32
19-Aug,28
19-Sep,29
19-Oct,30
19-Nov,30
19-Dec,24
20-Jan,27
20-Feb,27
20-Mar,23
20-Apr,26
20-May,27
20-Jun,25
20-Jul,28
20-Aug,27
20-Sep,25
20-Oct,23
20-Nov,30
20-Dec,29
21-Jan,44
21-Feb,57
21-Mar,51
21-Apr,53
21-May,53
21-Jun,38
21-Jul,33
21-Aug,35
21-Sep,39
21-Oct,42
21-Nov,50
21-Dec,45
22-Jan,45
22-Feb,44
