date,popularity
2019/10/06,0
2019/10/13,0
2019/10/20,0
2019/10/27,0
2019/11/03,0
2019/11/10,0
2019/11/17,0
2019/11/24,0
2019/12/01,0
2019/12/08,0
2019/12/15,0
2019/12/22,0
2019/12/29,0
2020/01/05,0
2020/01/12,0
2020/01/19,0
2020/01/26,0
2020/02/02,0
2020/02/09,0
2020/02/16,0
2020/02/23,2
2020/03/01,2
2020/03/08,6
2020/03/15,11
2020/03/22,10
2020/03/29,9
2020/04/05,9
2020/04/12,7
2020/04/19,8
2020/04/26,8
2020/05/03,9
2020/05/10,8
2020/05/17,9
2020/05/24,7
2020/05/31,5
2020/06/07,8
2020/06/14,9
2020/06/21,10
2020/06/28,9
2020/07/05,9
2020/07/12,19
2020/07/19,15
2020/07/26,12
2020/08/02,15
2020/08/09,32
2020/08/16,13
2020/08/23,10
2020/08/30,11
2020/09/06,11
2020/09/13,11
2020/09/20,9
2020/09/27,7
2020/10/04,7
2020/10/11,8
2020/10/18,9
2020/10/25,9
2020/11/01,7
2020/11/08,17
2020/11/15,17
2020/11/22,14
2020/11/29,19
2020/12/06,27
2020/12/13,32
2020/12/20,26
2020/12/27,29
2021/01/03,34
2021/01/10,46
2021/01/17,42
2021/01/24,43
2021/01/31,62
2021/02/07,78
2021/02/14,72
2021/02/21,81
2021/02/28,91
2021/03/07,100
2021/03/14,75
2021/03/21,72
2021/03/28,79
2021/04/04,100
2021/04/11,69
2021/04/18,63
2021/04/25,91
2021/05/02,82
2021/05/09,94
2021/05/16,88
2021/05/23,77
2021/05/30,70
2021/06/06,69
2021/06/13,65
2021/06/20,75
2021/06/27,69
2021/07/04,67
2021/07/11,64
2021/07/18,67
2021/07/25,76
2021/08/01,94
2021/08/08,84
2021/08/15,82
2021/08/22,77
2021/08/29,80
2021/09/05,74
2021/09/12,77
2021/09/19,65
2021/09/26,55
2021/10/03,46
2021/10/10,41
2021/10/17,45
2021/10/24,38
2021/10/31,35
2021/11/07,39
2021/11/14,40
2021/11/21,41
2021/11/28,52
2021/12/05,45
2021/12/12,53
2021/12/19,41
2021/12/26,44
2022/01/02,91
2022/01/09,79
2022/01/16,80
2022/01/23,53
2022/01/30,34
2022/02/06,32
2022/02/13,29
2022/02/20,26
