date,popularity
Jan-04,21
Feb-04,36
Mar-04,32
Apr-04,46
May-04,44
Jun-04,30
Jul-04,38
Aug-04,52
Sep-04,25
Oct-04,35
Nov-04,23
Dec-04,25
Jan-05,21
Feb-05,16
Mar-05,31
Apr-05,31
May-05,31
Jun-05,26
Jul-05,30
Aug-05,47
Sep-05,43
Oct-05,27
Nov-05,26
Dec-05,20
Jan-06,19
Feb-06,25
Mar-06,19
Apr-06,29
May-06,30
Jun-06,27
Jul-06,32
Aug-06,36
Sep-06,31
Oct-06,25
Nov-06,21
Dec-06,23
Jan-07,24
Feb-07,28
Mar-07,27
Apr-07,29
May-07,29
Jun-07,31
Jul-07,31
Aug-07,25
Sep-07,28
Oct-07,30
Nov-07,31
Dec-07,30
Jan-08,30
Feb-08,27
Mar-08,29
Apr-08,41
May-08,49
Jun-08,61
Jul-08,57
Aug-08,37
Sep-08,33
Oct-08,28
Nov-08,27
Dec-08,28
Jan-09,23
Feb-09,28
Mar-09,30
Apr-09,29
May-09,27
Jun-09,26
Jul-09,26
Aug-09,28
Sep-09,31
Oct-09,29
Nov-09,28
Dec-09,29
Jan-10,24
Feb-10,25
Mar-10,24
Apr-10,26
May-10,25
Jun-10,26
Jul-10,25
Aug-10,24
Sep-10,26
Oct-10,24
Nov-10,25
Dec-10,19
Jan-11,26
Feb-11,26
Mar-11,25
Apr-11,26
May-11,24
Jun-11,22
Jul-11,22
Aug-11,23
Sep-11,21
Oct-11,24
Nov-11,23
Dec-11,20
Jan-12,20
Feb-12,23
Mar-12,25
Apr-12,23
May-12,23
Jun-12,25
Jul-12,20
Aug-12,20
Sep-12,21
Oct-12,20
Nov-12,20
Dec-12,17
Jan-13,20
Feb-13,19
Mar-13,21
Apr-13,21
May-13,21
Jun-13,19
Jul-13,19
Aug-13,19
Sep-13,19
Oct-13,22
Nov-13,19
Dec-13,19
Jan-14,20
Feb-14,22
Mar-14,22
Apr-14,22
May-14,21
Jun-14,20
Jul-14,20
Aug-14,19
Sep-14,23
Oct-14,21
Nov-14,21
Dec-14,17
Jan-15,19
Feb-15,19
Mar-15,21
Apr-15,23
May-15,21
Jun-15,20
Jul-15,21
Aug-15,20
Sep-15,22
Oct-15,22
Nov-15,20
Dec-15,20
Jan-16,21
Feb-16,22
Mar-16,22
Apr-16,27
May-16,21
Jun-16,22
Jul-16,20
Aug-16,22
Sep-16,23
Oct-16,23
Nov-16,25
Dec-16,21
Jan-17,23
Feb-17,27
Mar-17,26
Apr-17,28
May-17,28
Jun-17,27
Jul-17,31
Aug-17,32
Sep-17,37
Oct-17,38
Nov-17,37
Dec-17,33
Jan-18,36
Feb-18,38
Mar-18,36
Apr-18,36
May-18,37
Jun-18,35
Jul-18,35
Aug-18,36
Sep-18,41
Oct-18,41
Nov-18,41
Dec-18,37
Jan-19,39
Feb-19,43
Mar-19,46
Apr-19,47
May-19,48
Jun-19,46
Jul-19,51
Aug-19,49
Sep-19,53
Oct-19,54
Nov-19,53
Dec-19,48
Jan-20,53
Feb-20,56
Mar-20,41
Apr-20,33
May-20,38
Jun-20,42
Jul-20,50
Aug-20,48
Sep-20,53
Oct-20,51
Nov-20,54
Dec-20,52
Jan-21,62
Feb-21,75
Mar-21,74
Apr-21,66
May-21,69
Jun-21,72
Jul-21,79
Aug-21,75
Sep-21,75
Oct-21,84
Nov-21,100
Dec-21,78
Jan-22,79
Feb-22,82
Mar-22,96
