date,popularity
Dec-06,1
Jan-07,9
Feb-07,3
Mar-07,2
Apr-07,2
May-07,2
Jun-07,9
Jul-07,12
Aug-07,6
Sep-07,11
Oct-07,10
Nov-07,14
Dec-07,14
Jan-08,13
Feb-08,13
Mar-08,14
Apr-08,14
May-08,14
Jun-08,22
Jul-08,32
Aug-08,28
Sep-08,24
Oct-08,21
Nov-08,21
Dec-08,23
Jan-09,21
Feb-09,20
Mar-09,21
Apr-09,20
May-09,21
Jun-09,37
Jul-09,29
Aug-09,28
Sep-09,29
Oct-09,28
Nov-09,27
Dec-09,30
Jan-10,31
Feb-10,29
Mar-10,28
Apr-10,32
May-10,31
Jun-10,53
Jul-10,52
Aug-10,50
Sep-10,49
Oct-10,45
Nov-10,46
Dec-10,48
Jan-11,48
Feb-11,43
Mar-11,44
Apr-11,45
May-11,45
Jun-11,44
Jul-11,47
Aug-11,48
Sep-11,55
Oct-11,81
Nov-11,56
Dec-11,60
Jan-12,55
Feb-12,49
Mar-12,51
Apr-12,48
May-12,48
Jun-12,50
Jul-12,52
Aug-12,54
Sep-12,100
Oct-12,61
Nov-12,57
Dec-12,60
Jan-13,54
Feb-13,53
Mar-13,51
Apr-13,48
May-13,47
Jun-13,49
Jul-13,49
Aug-13,50
Sep-13,79
Oct-13,57
Nov-13,51
Dec-13,54
Jan-14,50
Feb-14,46
Mar-14,47
Apr-14,44
May-14,45
Jun-14,46
Jul-14,48
Aug-14,50
Sep-14,92
Oct-14,56
Nov-14,53
Dec-14,55
Jan-15,50
Feb-15,44
Mar-15,46
Apr-15,45
May-15,44
Jun-15,45
Jul-15,49
Aug-15,50
Sep-15,61
Oct-15,55
Nov-15,49
Dec-15,52
Jan-16,48
Feb-16,46
Mar-16,50
Apr-16,45
May-16,44
Jun-16,44
Jul-16,51
Aug-16,49
Sep-16,78
Oct-16,55
Nov-16,51
Dec-16,53
Jan-17,48
Feb-17,43
Mar-17,45
Apr-17,44
May-17,44
Jun-17,44
Jul-17,48
Aug-17,48
Sep-17,73
Oct-17,57
Nov-17,62
Dec-17,60
Jan-18,50
Feb-18,46
Mar-18,45
Apr-18,42
May-18,42
Jun-18,43
Jul-18,44
Aug-18,44
Sep-18,58
Oct-18,47
Nov-18,48
Dec-18,50
Jan-19,44
Feb-19,40
Mar-19,39
Apr-19,38
May-19,38
Jun-19,41
Jul-19,41
Aug-19,41
Sep-19,63
Oct-19,52
Nov-19,48
Dec-19,50
Jan-20,44
Feb-20,42
Mar-20,38
Apr-20,46
May-20,46
Jun-20,46
Jul-20,46
Aug-20,45
Sep-20,45
Oct-20,55
Nov-20,53
Dec-20,50
Jan-21,44
Feb-21,41
Mar-21,40
Apr-21,40
May-21,41
Jun-21,39
Jul-21,42
Aug-21,42
Sep-21,56
Oct-21,49
Nov-21,49
Dec-21,49
Jan-22,48
Feb-22,44
Mar-22,43
