date,popularity
Jan-04,15
Feb-04,18
Mar-04,15
Apr-04,20
May-04,16
Jun-04,13
Jul-04,12
Aug-04,14
Sep-04,18
Oct-04,18
Nov-04,15
Dec-04,14
Jan-05,17
Feb-05,17
Mar-05,17
Apr-05,16
May-05,14
Jun-05,14
Jul-05,14
Aug-05,15
Sep-05,16
Oct-05,16
Nov-05,14
Dec-05,14
Jan-06,14
Feb-06,14
Mar-06,14
Apr-06,13
May-06,14
Jun-06,14
Jul-06,12
Aug-06,13
Sep-06,13
Oct-06,13
Nov-06,14
Dec-06,13
Jan-07,13
Feb-07,13
Mar-07,12
Apr-07,12
May-07,11
Jun-07,11
Jul-07,12
Aug-07,12
Sep-07,13
Oct-07,12
Nov-07,13
Dec-07,13
Jan-08,14
Feb-08,14
Mar-08,13
Apr-08,13
May-08,13
Jun-08,12
Jul-08,14
Aug-08,12
Sep-08,11
Oct-08,12
Nov-08,12
Dec-08,11
Jan-09,12
Feb-09,13
Mar-09,12
Apr-09,13
May-09,13
Jun-09,12
Jul-09,12
Aug-09,13
Sep-09,11
Oct-09,12
Nov-09,12
Dec-09,11
Jan-10,11
Feb-10,11
Mar-10,12
Apr-10,11
May-10,11
Jun-10,10
Jul-10,10
Aug-10,11
Sep-10,10
Oct-10,10
Nov-10,10
Dec-10,10
Jan-11,12
Feb-11,10
Mar-11,12
Apr-11,14
May-11,11
Jun-11,12
Jul-11,13
Aug-11,12
Sep-11,13
Oct-11,13
Nov-11,16
Dec-11,15
Jan-12,13
Feb-12,12
Mar-12,12
Apr-12,13
May-12,13
Jun-12,13
Jul-12,13
Aug-12,13
Sep-12,14
Oct-12,14
Nov-12,17
Dec-12,16
Jan-13,16
Feb-13,15
Mar-13,16
Apr-13,30
May-13,39
Jun-13,21
Jul-13,18
Aug-13,18
Sep-13,16
Oct-13,18
Nov-13,20
Dec-13,20
Jan-14,22
Feb-14,20
Mar-14,18
Apr-14,27
May-14,30
Jun-14,26
Jul-14,22
Aug-14,22
Sep-14,23
Oct-14,22
Nov-14,24
Dec-14,25
Jan-15,26
Feb-15,24
Mar-15,23
Apr-15,31
May-15,36
Jun-15,26
Jul-15,25
Aug-15,25
Sep-15,25
Oct-15,26
Nov-15,32
Dec-15,34
Jan-16,30
Feb-16,28
Mar-16,27
Apr-16,55
May-16,47
Jun-16,35
Jul-16,31
Aug-16,30
Sep-16,34
Oct-16,40
Nov-16,52
Dec-16,56
Jan-17,50
Feb-17,44
Mar-17,44
Apr-17,64
May-17,60
Jun-17,47
Jul-17,47
Aug-17,48
Sep-17,49
Oct-17,60
Nov-17,79
Dec-17,90
Jan-18,73
Feb-18,60
Mar-18,57
Apr-18,69
May-18,74
Jun-18,60
Jul-18,58
Aug-18,58
Sep-18,61
Oct-18,69
Nov-18,93
Dec-18,100
Jan-19,82
Feb-19,66
Mar-19,62
Apr-19,68
May-19,79
Jun-19,69
Jul-19,67
Aug-19,63
Sep-19,66
Oct-19,72
Nov-19,89
Dec-19,97
Jan-20,79
Feb-20,70
Mar-20,64
Apr-20,82
May-20,93
Jun-20,85
Jul-20,75
Aug-20,73
Sep-20,75
Oct-20,80
Nov-20,87
Dec-20,94
Jan-21,81
Feb-21,73
Mar-21,68
Apr-21,70
May-21,78
Jun-21,70
Jul-21,65
Aug-21,63
Sep-21,61
Oct-21,67
Nov-21,78
Dec-21,81
Jan-22,78
Feb-22,64
Mar-22,58
