date,popularity
Jan-04,21
Feb-04,21
Mar-04,22
Apr-04,21
May-04,20
Jun-04,20
Jul-04,20
Aug-04,20
Sep-04,20
Oct-04,20
Nov-04,20
Dec-04,19
Jan-05,20
Feb-05,20
Mar-05,21
Apr-05,20
May-05,22
Jun-05,20
Jul-05,22
Aug-05,21
Sep-05,23
Oct-05,23
Nov-05,23
Dec-05,22
Jan-06,22
Feb-06,23
Mar-06,22
Apr-06,22
May-06,22
Jun-06,27
Jul-06,22
Aug-06,22
Sep-06,23
Oct-06,23
Nov-06,23
Dec-06,23
Jan-07,23
Feb-07,24
Mar-07,25
Apr-07,25
May-07,25
Jun-07,26
Jul-07,27
Aug-07,28
Sep-07,29
Oct-07,32
Nov-07,33
Dec-07,33
Jan-08,33
Feb-08,38
Mar-08,38
Apr-08,39
May-08,41
Jun-08,45
Jul-08,44
Aug-08,46
Sep-08,43
Oct-08,47
Nov-08,48
Dec-08,47
Jan-09,49
Feb-09,49
Mar-09,48
Apr-09,52
May-09,52
Jun-09,49
Jul-09,49
Aug-09,54
Sep-09,54
Oct-09,54
Nov-09,57
Dec-09,53
Jan-10,50
Feb-10,54
Mar-10,51
Apr-10,54
May-10,56
Jun-10,69
Jul-10,54
Aug-10,57
Sep-10,59
Oct-10,61
Nov-10,59
Dec-10,56
Jan-11,57
Feb-11,63
Mar-11,63
Apr-11,71
May-11,66
Jun-11,67
Jul-11,67
Aug-11,70
Sep-11,73
Oct-11,76
Nov-11,72
Dec-11,72
Jan-12,74
Feb-12,73
Mar-12,70
Apr-12,80
May-12,65
Jun-12,77
Jul-12,69
Aug-12,68
Sep-12,74
Oct-12,76
Nov-12,73
Dec-12,71
Jan-13,71
Feb-13,78
Mar-13,76
Apr-13,85
May-13,72
Jun-13,77
Jul-13,69
Aug-13,81
Sep-13,84
Oct-13,82
Nov-13,83
Dec-13,86
Jan-14,84
Feb-14,92
Mar-14,83
Apr-14,89
May-14,83
Jun-14,98
Jul-14,84
Aug-14,83
Sep-14,86
Oct-14,87
Nov-14,88
Dec-14,89
Jan-15,89
Feb-15,93
Mar-15,91
Apr-15,88
May-15,95
Jun-15,78
Jul-15,79
Aug-15,86
Sep-15,92
Oct-15,93
Nov-15,91
Dec-15,87
Jan-16,83
Feb-16,90
Mar-16,79
Apr-16,85
May-16,82
Jun-16,92
Jul-16,72
Aug-16,81
Sep-16,77
Oct-16,86
Nov-16,85
Dec-16,80
Jan-17,84
Feb-17,85
Mar-17,79
Apr-17,100
May-17,79
Jun-17,75
Jul-17,75
Aug-17,92
Sep-17,86
Oct-17,86
Nov-17,83
Dec-17,83
Jan-18,80
Feb-18,83
Mar-18,79
Apr-18,77
May-18,78
Jun-18,86
Jul-18,73
Aug-18,69
Sep-18,80
Oct-18,77
Nov-18,72
Dec-18,73
Jan-19,71
Feb-19,72
Mar-19,70
Apr-19,72
May-19,67
Jun-19,65
Jul-19,58
Aug-19,62
Sep-19,70
Oct-19,67
Nov-19,73
Dec-19,66
Jan-20,63
Feb-20,62
Mar-20,68
Apr-20,64
May-20,58
Jun-20,56
Jul-20,57
Aug-20,63
Sep-20,68
Oct-20,60
Nov-20,63
Dec-20,62
Jan-21,66
Feb-21,57
Mar-21,57
Apr-21,59
May-21,55
Jun-21,59
Jul-21,58
Aug-21,54
Sep-21,56
Oct-21,56
Nov-21,55
Dec-21,59
Jan-22,58
Feb-22,60
Mar-22,57
