date,popularity
10-Jan,7
10-Feb,7
10-Mar,8
10-Apr,8
10-May,8
10-Jun,7
10-Jul,6
10-Aug,6
10-Sep,7
10-Oct,8
10-Nov,8
10-Dec,7
11-Jan,8
11-Feb,8
11-Mar,8
11-Apr,8
11-May,7
11-Jun,7
11-Jul,6
11-Aug,7
11-Sep,9
11-Oct,11
11-Nov,10
11-Dec,9
12-Jan,9
12-Feb,10
12-Mar,10
12-Apr,10
12-May,10
12-Jun,9
12-Jul,9
12-Aug,9
12-Sep,10
12-Oct,11
12-Nov,11
12-Dec,10
13-Jan,10
13-Feb,10
13-Mar,11
13-Apr,12
13-May,11
13-Jun,10
13-Jul,11
13-Aug,10
13-Sep,12
13-Oct,13
13-Nov,13
13-Dec,12
14-Jan,13
14-Feb,14
14-Mar,14
14-Apr,15
14-May,14
14-Jun,13
14-Jul,14
14-Aug,15
14-Sep,15
14-Oct,16
14-Nov,17
14-Dec,16
15-Jan,17
15-Feb,18
15-Mar,18
15-Apr,20
15-May,18
15-Jun,20
15-Jul,19
15-Aug,19
15-Sep,21
15-Oct,23
15-Nov,27
15-Dec,23
16-Jan,23
16-Feb,26
16-Mar,31
16-Apr,31
16-May,31
16-Jun,30
16-Jul,27
16-Aug,28
16-Sep,38
16-Oct,40
16-Nov,47
16-Dec,45
17-Jan,50
17-Feb,54
17-Mar,58
17-Apr,59
17-May,63
17-Jun,63
17-Jul,62
17-Aug,63
17-Sep,69
17-Oct,77
17-Nov,79
17-Dec,71
18-Jan,74
18-Feb,78
18-Mar,84
18-Apr,80
18-May,82
18-Jun,80
18-Jul,80
18-Aug,81
18-Sep,86
18-Oct,92
18-Nov,89
18-Dec,77
19-Jan,87
19-Feb,92
19-Mar,88
19-Apr,89
19-May,90
19-Jun,92
19-Jul,91
19-Aug,90
19-Sep,96
19-Oct,98
19-Nov,97
19-Dec,87
20-Jan,94
20-Feb,100
20-Mar,83
20-Apr,88
20-May,90
20-Jun,89
20-Jul,90
20-Aug,87
20-Sep,92
20-Oct,81
20-Nov,75
20-Dec,71
21-Jan,71
21-Feb,76
21-Mar,77
21-Apr,80
21-May,79
21-Jun,79
21-Jul,79
21-Aug,72
21-Sep,77
21-Oct,79
21-Nov,85
21-Dec,82
22-Jan,79
22-Feb,84
