Month,Searches
10-Jan,7
10-Feb,6
10-Mar,6
10-Apr,8
10-May,10
10-Jun,7
10-Jul,7
10-Aug,7
10-Sep,8
10-Oct,7
10-Nov,8
10-Dec,6
11-Jan,7
11-Feb,6
11-Mar,9
11-Apr,7
11-May,8
11-Jun,8
11-Jul,8
11-Aug,9
11-Sep,10
11-Oct,9
11-Nov,9
11-Dec,7
12-Jan,9
12-Feb,8
12-Mar,8
12-Apr,8
12-May,9
12-Jun,9
12-Jul,9
12-Aug,9
12-Sep,10
12-Oct,10
12-Nov,7
12-Dec,9
13-Jan,10
13-Feb,11
13-Mar,13
13-Apr,16
13-May,12
13-Jun,11
13-Jul,11
13-Aug,12
13-Sep,11
13-Oct,14
13-Nov,16
13-Dec,17
14-Jan,16
14-Feb,16
14-Mar,14
14-Apr,13
14-May,13
14-Jun,14
14-Jul,13
14-Aug,12
14-Sep,14
14-Oct,13
14-Nov,13
14-Dec,12
15-Jan,13
15-Feb,13
15-Mar,13
15-Apr,14
15-May,14
15-Jun,15
15-Jul,16
15-Aug,16
15-Sep,19
15-Oct,20
15-Nov,20
15-Dec,18
16-Jan,21
16-Feb,22
16-Mar,22
16-Apr,23
16-May,25
16-Jun,27
16-Jul,23
16-Aug,24
16-Sep,25
16-Oct,27
16-Nov,33
16-Dec,27
17-Jan,31
17-Feb,34
17-Mar,36
17-Apr,35
17-May,40
17-Jun,46
17-Jul,43
17-Aug,47
17-Sep,52
17-Oct,64
17-Nov,73
17-Dec,98
18-Jan,100
18-Feb,88
18-Mar,76
18-Apr,72
18-May,73
18-Jun,62
18-Jul,61
18-Aug,60
18-Sep,62
18-Oct,66
18-Nov,58
18-Dec,47
19-Jan,51
19-Feb,53
19-Mar,48
19-Apr,50
19-May,53
19-Jun,47
19-Jul,46
19-Aug,46
19-Sep,50
19-Oct,48
19-Nov,49
19-Dec,39
20-Jan,43
20-Feb,46
20-Mar,36
20-Apr,38
20-May,37
20-Jun,39
20-Jul,43
20-Aug,46
20-Sep,46
20-Oct,42
20-Nov,48
20-Dec,43
21-Jan,54
21-Feb,65
21-Mar,59
21-Apr,60
21-May,63
21-Jun,52
21-Jul,49
21-Aug,48
21-Sep,57
21-Oct,60
21-Nov,63
21-Dec,60
22-Jan,62
22-Feb,64
